bedrooms,building_size_m2,bathrooms,carports,price_in_rp,floor_count,url,building_age,city,certificate,electricity_power,land_size_m2,property_condition,district,location,description,title
3,220 m²,3,1,Rp 130 Juta/tahun,3,https://www.rumah123.com/properti/jakarta-selatan/hor39385129/,,Jakarta Selatan,SHM,3500 Watt,107 m²,Bagus,Tebet,"Tebet, Jakarta Selatan","Rumah di tebet barat, akses jalan lebar 2 mobil

Luas tanah fisik 107m
Luas tanah di sertifikat 80m
Luas bangunan 220
3 lantai
Kamar tidur 3+1
Kamar mandi 3+1
Carport 2","Rumah di tebet barat 3 lantai, akses jalan lebar 2 mobil"
3,191 m²,3,2,Rp 175 Juta/tahun,2,https://www.rumah123.com/properti/jakarta-selatan/hor39419123/,,Jakarta Selatan,SHM,5500 Watt,140 m²,Bagus,Cilandak,"Cilandak, Jakarta Selatan","For rent rumah semi furnished dalam townhouse 
Belakang sekolah Highscope Simatupang

LT 140
LB 191
Private pool 
Kamar Tidur 3
Kamar Mandi 3
Kamar Tidur ART 1
Kamar mandi ART 1
Gudang 
Carport 2
Dapur 2

Harga 175jt negotiable",ADA SWIMPOOL DALAM TOWNHOUSE BELAKANG HIGHSCOPE SIMATUPANG
3,92 m²,3,2,Rp 50 Juta/tahun,2,https://www.rumah123.com/properti/tangerang/hor39324431/,,Tangerang,SHM,2200 Watt,94 m²,Bagus,Cisauk,"Cisauk, Tangerang","Disewakan rumah baru dalam cluster
Di Giantara serpong city

2 lantai 
LT 94 m2
LB 92 m2 
KT 3
KM 3
Listrik 2200 watt
Air  PDAM
SHM
Carport  2 mobil
Hadap Selatan
AC ditiap kamar

Rp 50 jt pertahun (nego)
deposit 5 jt

Selling point :
4 menit ke Stasiun Cicayur
7 menit ke Stasiun Cisauk
14 menit ke pintu tol BSD
15 menit ke AEON BSD Mall

for more info DM,thank you
Susty Rachman
Eagle Tree fortune 8
0811168xxx",Rumah Cantik Hook Dlm Cluster Dekat Stasiun Cisauk
3,118 m²,3,1,Rp 90 Juta/tahun,2,https://www.rumah123.com/properti/tangerang/hor39124881/,,Tangerang,PPJB,2200 Watt,98 m²,Bagus,BSD City,"BSD City, Tangerang","*For rent*

Dijual atau disewakan rumah Hiera Cluster Welton, BSD City

spek:
Luas tanah 98 m2 (7 x14)
Luas bangunan 118 m2
Kamar Tidur 3
Kamar mandi 3
Listrik 2200 watt
Kitchen set 
Hadap Selatan
Kanopi

Harga Sewa Rp 90 juta
Harga jual Rp 3 M

(VL)",Rumah Siap Huni Di Hiera Bsd
3,99 m²,3,2,Rp 100 Juta/tahun,2,https://www.rumah123.com/properti/tangerang/hor39383252/,,Tangerang,PPJB,Lainnya,96 m²,Bagus,Cipondoh,"Cipondoh, Tangerang","Rumah 2 lantai di Cipondoh, Tangerang.

For rent rumah di wilayah yang nyaman. Properti 2 lantai ini berada di lingkungan strategis.

Kategorinya adalah sebagai berikut:

  - Kamar Tidur: 3
  - Kamar Mandi: 3
  - Sertifikat: PPJB
  - Kondisi Perabotan: Unfurnished

Tentunya properti ini layak untuk anda dapatkan karena:

  - Siap Huni.
  - Adem & Sejuk.
  - Lingkungan Tenang dan Damai.
  - Akses Jalan Muat 2 Mobil.
  - Lokasi Strategis.
  - Lokasi Bebas Banjir.
  - One Gate System.
  - Properti Mewah.
  - Properti Eksklusif.

Keberadaan rumah berikut mudah dijangkau, hanya selangkah menuju berbagai fasilitas utama dan menarik.

Hanya Rp. 8.333.333, anda dapat langsung dapatkan rumah eksklusif di daerah Cipondoh ini.

Tersedia juga untuk rental period Yearly.",Murah Rumah Sewa Di Riviera Metland Puri
3,263 m²,3,,Rp 300 Juta/tahun,3,https://www.rumah123.com/properti/jakarta-selatan/hor39424457/,,Jakarta Selatan,SHM,5500 Watt,140 m²,Bagus,Lebak Bulus,"Lebak Bulus, Jakarta Selatan","Rumah 3 lantai di Lebak Bulus, Jakarta Selatan.

For rent rumah di wilayah yang nyaman dengan pemandangan perkotaan. Properti 3 lantai bergaya modern ini berada di lingkungan Lokasi di Pusat Kota.

Kategorinya adalah sebagai berikut:

  - Kamar Tidur: 3
  - Kamar Mandi: 3
  - Sertifikat: SHM - Sertifikat Hak Milik
  - Daya Listrik: 5500 W
  - Hadap: Selatan
  - Kondisi Perabotan: Furnished

Tentunya properti ini layak untuk dimiliki karena:

  - Full Furnished.
  - Siap Huni.
  - Bebas Banjir.
  - Dekat Akses MRT.
  - Dekat Fasilitas Kesehatan.
  - Lokasi di Pusat Kota.
  - Adem & Sejuk.
  - Lingkungan Tenang dan Damai.
  - Properti Bisa Nego.
  - Akses Jalan Muat 2 Mobil.
  - Lokasi Strategis.
  - Lokasi Bebas Banjir.
  - One Gate System.

Properti ini sudah lengkap dengan fasilitas:

  - Wastafel.
  - Kitchen Set.
  - Pemanas Air.
  - Kompor.
  - Kulkas.
  - Mesin Cuci.
  - Keamanan 24 jam.
  - Akses Parkir.
  - One Gate System.
  - Taman.
  - Tempat Jemuran.
  - Taman.
  - Tempat Jemuran.
  - Taman.

Lokasi rumah berikut terjangkau, hanya selangkah menuju berbagai fasilitas utama dan menarik.

Dengan Rp. 25.000.000, anda dapat langsung dapatkan rumah terbaik di daerah Lebak Bulus ini.

Tersedia juga untuk rental period Yearly.",Rumah Siap Disewa Bagus Mewah Full Furnished Di Serenia Hills
2,77 m²,3,1,Rp 80 Juta/tahun,2,https://www.rumah123.com/properti/tangerang/hor38910750/,,Tangerang,PPJB,Lainnya,60 m²,Bagus,BSD,"BSD, Tangerang","DISEWAKAN 
Rumah 2 lt fullfurnish cluster freja chic

LT 60 m2  ( 5 X 12) 
LB 77 m2 
3 Kamar Tidur 
2 Kamar Mandi
3 AC 
Kulkas 
Dispenser
water Heater 
Listrik 4400 Watt
hadap utara
harga 80  jt nego
deposit 10 jt

Hubungi  :
Evy lianawati
08158161xxx
( Ar)","Siap Huni 2 Lantai Cluster Freja Chic, Bsd"
2,55 m²,1,1,Rp 51 Juta/tahun,2,https://www.rumah123.com/properti/tangerang/hor39416284/,,Tangerang,PPJB,Lainnya,40 m²,Bagus,BSD,"BSD, Tangerang","Disewa. :

Fleekhauz  blok H
Luas  40 m2
Kt.   2
Km  1
Ac.  2
Kulkas 1 pintu
Water heater
Cctv & Smart loock
Kaca film + rolling bred
Tangga pakai relling
Harga. :  51 jt / th nego
Deposit. :  5 jt

Hubungi. :
Evy lianawati
08158161xxx","Rumah Minimalis Fleekhauz H., Bsd"
2,55 m²,2,1,Rp 40 Juta/tahun,3,https://www.rumah123.com/properti/tangerang/hor38993782/,,Tangerang,PPJB,2200 Watt,60 m²,Bagus,Lippo Karawaci,"Lippo Karawaci, Tangerang","Disewakan Rumah Siap Huni di Cendana Parc, Lippo Karawaci*  
Posisi strategis, rumah 2 lantai yang nyaman, full furnished, dan siap langsung ditempati!

 *Cendana Parc – Blok A Lippo Karawaci*

*Spesifikasi:*
- *Luas Tanah:* 60 m²  
- *Luas Bangunan:* 55 m²  
- *Jumlah Lantai:* 2  
- *Hadap:* Barat  
- *Kamar Tidur:* 2  
- *Kamar Mandi:* 2  
- *Listrik:* 2200 watt  
- *Air:* PAM  
- *Sertifikat:* PPJB  
- *Full Furnished* (kamar utama, kitchen, ruang tamu, toilet)

*Keunggulan:*
- Rumah modern, rapi & siap huni  
- Cocok untuk pasangan muda, keluarga kecil, maupun investasi sewa  
- Akses mudah ke pusat Lippo Karawaci, kampus, dan mal  
- Lingkungan tenang dan nyaman

*Harga Sewa:* Rp *40 Juta / Tahun*

---

*Tertarik untuk survei atau tanya-tanya dulu?*  
Hubungi: 0817835xxx

#CendanaParc #RumahDijualKarawaci #RumahSewaLippoKarawaci #LippoKarawaci #RumahSiapHuni #RumahFullFurnished #PropertiTangerang #RumahMinimalis",Sewa Rumah Cendana Parc A Lippo Karawaci 2 Kamar Tidur
3,88 m²,3,1,Rp 39 Juta/tahun,2,https://www.rumah123.com/properti/tangerang/hor39422738/,,Tangerang,PPJB,2200 Watt,88 m²,Bagus,Kelapa Dua,"Kelapa Dua, Tangerang","Sewa Rumah Baru di Cendana Botanic Kelapa Dua Tangerang
Luas bangunan : 88 m2
Luas tanah : 87,75 m2
Lebar x panjang : 6,5m x 13,5m
Hadap : UTARA
Jumlah kamar tidur : 3
kamar mandi : 3
Jumlah lantai: 2
Carport: 1
Air : PDAM
Daya Listrik : 2200
Unfurnish
Harga : 39jt",Sewa Cepat Rumah Baru 3 kamar di Cendana Botanic Tangerang
4,176 m²,4,2,Rp 225 Juta/tahun,2,https://www.rumah123.com/properti/tangerang/hor39419146/,,Tangerang,PPJB,Lainnya,180 m²,Bagus,Gading Serpong,"Gading Serpong, Tangerang","Disewakan Rumah BARU 2lt hook besar bagus rapi semi furnished di Grand Pasadena Residence Gading Serpong!!! unit langka!!

LT 180m2
LB 176m2

4KT +1
4KM +1
semi furnished : AC 5, gordyn, Kitchen Set, Water heater central

di gading serpong tp dekat sekali ke bsd juga, aniva junction pusat kuliner jarak 2 menit, bsd grand lucky jarak 5 menit, tetanggaan dg cluster greenwich, inti nya : dekat kemana2 bsd gading serpong area

harga sewa : 225jt/th (nego)

hubungi :
Cindy - LJH Realty Icon BSD
081283574xxx",Disewakan Rumah Baru Lt 180m2 4kt Semi Furnished Di Grand Pasadena Residence Gading Serpong Dekat Aniva Junction Dekat Greenwich Bsd
2,75 m²,1,1,Rp 65 Juta/tahun,2,https://www.rumah123.com/properti/tangerang/hor16271649/,,Tangerang,SHM,2200 Watt,112 m²,Bagus,BSD Delatinos,"BSD Delatinos, Tangerang","RUMAH DI PATAGONIA DE LATINOS BSD DISEWAKAN FULLY FURNISHED

Kondisi terawat dan bersih

2 Kamar Tidur
2 kamar mandi
LT/LB 112/75

Kitchen set
Kompor + tabung gas
Meja makan 4 kursi
Sofa 2 seater
Tempat tidur queen size di setiap kamar
Lemari Baju di setiap kamar
Lampu
Gorden
Taman depan belakang yang terawat

Elektronik:
Ac di setiap ruangan (3 unit)
TV 55""
Standing Water Dispenser + Galon
Kulkas 2 pintu

Akses:
St Kereta Rawa Buntu 2km
Gerbang Tol BSD 2km

Tinggal bawa koper",Rumah Cantik Disewakan di Bsd Delatinos Fully Furnished
5,150 m²,3,1,Rp 140 Juta per tahun,,https://www.rumah123.com/properti/semarang/hor17329132/,,Semarang,SHM,Lainnya,200 m²,Bagus,Candi Golf,"Candi Golf, Semarang","Disewakan rumah di perumahan Candigolf.
Kamar tidur 5, kamar mandi 3.
Ada gudang+carport.
Semi furnished, bed, lemari, AC, kitchen set, mejakursi makan.
Dekat dengan sekolah Mondial, Semesta, Gandhi.
Dekat tol jatingaleh.
Dekat tembalang.
Fasilitas lapangan golf Candigolf.",Disewakan rumah di perumahan elit Candigolf
2,70 m²,2,,Rp 95 Juta/tahun,1,https://www.rumah123.com/properti/semarang/hor19503560/,,Semarang,SHM,4400 Watt,120 m²,,Mijen,"Mijen, Semarang","Rumah For Rent Semarang Disewakan Rumah The Miles 

Harga Sewa Full Furnish 
95jt/th 
Min sewa 2 thn 

Lt 120 , Lb 70 
2 Lantai, SHM
Hadap Selatan
Listrik token 4400
Air PAM BSB
Kamar tidur 2 Full Furnish
Kamar mandi 2
Ruang TV Full Furnish
Carport 2 mobil 
AC 2 
CCTV 2 
Water Heater 1
TV, 
Kulkas, 
Kompor Gas, 
Elpiji
Taman Depan dan Belakang
Dekat Kampus UNIKA dan Mall BSB 300m
Smart Home Konsep 
Full korden 

Security deposit 10 jt
PBB ditanggung pemilik",RUMAH FURNISHED MILES 2 LANTAI BSB CITY SEMARANG BARAT MIJEN
3,120 m²,3,1,Rp 65 Juta/tahun,2,https://www.rumah123.com/properti/tangerang/hor39422789/,,Tangerang,PPJB,Lainnya,60 m²,Bagus,BSD City,"BSD City, Tangerang","Disewakan Rumah Full Furnish di Cluster Whelford Greenwich BSD

LT 60
LB 120
Konsep Double Decker
KT 3+1
KM 3+1
Full furnish
masih tersewa smp 4juli 2025

harga: 65jt/thn nego",Rumah Semi Furnish Siap Huni Whelford Greenwich Bsd Dekat Mal Eastvara
4,115 m²,3,1,Rp 65 Juta/tahun,3,https://www.rumah123.com/properti/surabaya/hor39017665/,,Surabaya,SHM,3500 Watt,50 m²,Bagus,Wiyung,"Wiyung, Surabaya","Dijual / disewakan rumah di serenade :

LT 50 LB 115
Rumah 3 lantai
Full Bangunan + Kanopi Beton
Full Furnished 
KT 4 KM 3
Dimensi 5x10
Listrik 3500 Watt
SHM
Hadap Selatan
Harga jual : 1.75M nego
Harga sewa : 65 jt/tahun nego tipis",Disewakan Rumah Minimalis Modern Royal Residence
5,750 m²,4,,Rp 38 Juta/bulan,,https://www.rumah123.com/properti/jakarta-selatan/hor4566348/,,Jakarta Selatan,Lainnya,Lainnya,800 m²,,Pejaten,"Pejaten, Jakarta Selatan","Located in Pejaten, near Kemang, Ampera, Jeruk Purut, Cipete.
Close to school, shops, transport.
It has 5 bedrooms, and 4 bathrooms.
The price is USD 2800 per Month (Negotiable).

For Further information please call me

Thanks",Big and Beautiful House For Rent
4,300 m²,3,,Rp 75 Juta/tahun,1,https://www.rumah123.com/properti/surabaya/hor39451967/,,Surabaya,SHM,2200 Watt,555 m²,Baru,Wonocolo,"Wonocolo, Surabaya","DISEWAKAN RUMAH BENDUL MERISI SELATAN AIRDAS WONOCOLO SURABAYA RON.A1475 
	
SURAT SHM 
SURAT SHM DITANGAN 
LUAS TANAH: 555 M2 ( -+ 20 M X -+ 27.75 M) 
LUAS BANGUNAN: 300 M2      
KAMAR TIDUR: 4+2 ART 
KAMAR MANDI: 1 (KM DALAM) + 2 (KM LUAR) 
JUMLAH LANTAI: 1 LANTAI  
HADAP RUMAH : SELATAN DAN TIMUR 
FURNISHED ATAU KOSONGAN: KOSONGAN 
LISTRIK : TOKEN 2.200 WATT  
AIR: AIR PDAM   
TANDON AIR BAWAH 
CARPORT : 2 MOBIL 
GARASI : 2 MOBIL (UKURAN BESAR) ATAU 3 MOBIL (UKURAN KECIL) 
ROW JALAN: 3 MOBIL  
TIDAK TUSUK SATE  
POSISI POJOK 
TIDAK JALAN BUNTU 

HARGA SEWA 80 JUTA / TAHUN NEGO 
TURUN HARGA JADI 75 JUTA / TAHUN NEGO 
(SEWA BOLEH 1 TAHUN ATAU 2 TAHUN ATAU LEBIH, SESUAI KEBUTUHAN PENYEWA) 

HARGA JUAL 6,5 M NEGO 

Please contact me :
Ronny Irawan
XMarks Tjandra Grande
WA / HP : 081330146xxx 

IG : ronny_cen 

Klik for more information :
https://www.xaviermarks.com/ronnycen 

#RON.A1475
#GunakanBrokerAREBI
#IamTheOne",DISEWAKAN RUMAH BENDUL MERISI SELATAN AIRDAS WONOCOLO SURABAYA RON.A1475
4,102 m²,3,2,Rp 29 Juta/tahun,2,https://www.rumah123.com/properti/tangerang/hor39449578/,,Tangerang,SHM,Lainnya,87 m²,Bagus,Suvarna Sutera,"Suvarna Sutera, Tangerang","Rumah ini DISEWAKAN
LT : 87 m2 (7x12.5)
LB : 102 m2 
KT : 3+1
KM : 2+1
Jumlah Lantai : 2
Carport : 2
Posisi : BADAN
Furnishing : Kosongan Rapi
Daya Listrik : 3500 watt
Air : PDAM + WTP Suvarna Sutera

Harga : Rp. 29 Juta Pertahun Nepis
Deposit : Rp. 5 Juta

Fasilitas Lengkap
- Golf
- Gym
- Kolam Renang
- Basket
- Shuttle Bus
- Sepeda Listrik
- Masjid
- Gereja
- Gate Cluster
- CCTV 24 Jam

Tersedia
- Pom bensin Pertamina, Shell
- Alfamidi, Indomaret, Alfamart, Palem Segar, Lawson
- Sekolah Laurensia (Juga dekat Al Azhar, Citra Berkat, Tarakanita)
- Samanea (Apartment & Hotel)
- Happy Walk
- Food Street
- Deretan Ruko Terrace 8, 9, Fedora Park, Evergreen

Mau Survey?
Konsultasi Properti?
Yuk Japri!

Maria Katarina
(Gading Pro Suvarna Sutera)
0813 8861 8xxx
*** = Sembilan, Delapan, Delapan
Fast respon langsung call / WA yah

Follow Juga Instagram saya di @mariakatarina_property
(672)",Sewa 2 lantai Suvarna Sutera Fedora Park Rumah Modern Cluster Cikupa Lavon Tangerang Dkt Tol
3,180 m²,2,1,Rp 85 Juta/tahun,1,https://www.rumah123.com/properti/semarang/hor39394779/,,Semarang,SHM,Lainnya,200 m²,Bagus,Semarang Barat,"Semarang Barat, Semarang","Disewakan Hunian Nyaman Lokasi Strategis Graha Padma (dekat tol dan tengah kota)

Luas tanah : 200m²
Luas bangunan: 180m²
Kamar tidur : 3
Kamad mandi: 2
Listrik: 2200watt
Air: PAM
Carport + kanopi
Gordyn
AC
Kitchen set 
One Gate System
Security 24 jam

Harga sewa
85 Jt/th
Nego",Disewakan Rumah Bagus Graha Padma Bebas Banjir
4,300 m²,3,,Rp 40 Juta/bulan,2,https://www.rumah123.com/properti/badung/hor16454188/,,Badung,SHM,5500 Watt,315 m²,Bagus,Seminyak,"Seminyak, Badung","Villa for rent fully furnished in Petitenget seminyak 

Minimum rent 6 months
Including:
- pool cleaning
- garden cleaning
- security

great location in petitenget, only walking distance to the beach.
famous cafe and resto : Pison cafe, Shi-shi lounge, monsigneur spoon, etc

Fully furnished with private pool
Luxurious interior for your family comfort",Rumah Villa 2 Lantai Furnished di Petitenget
4,310 m²,4,1,Rp 130 Juta per tahun,2,https://www.rumah123.com/properti/bekasi/hor18916470/,,Bekasi,HGB,3300 Watt,272 m²,Bagus,Summarecon Bekasi,"Summarecon Bekasi, Bekasi","Disewakan rumah baru ada attic cluster jasmia summarecon crown gading Bekasi

Luas tanah 272m
Luas bangunan 310m
Premium attic 12*16 hook ada tanah lebih
Kamar tidur 4+2
Kamar mandi 4+2
Listrik 3300
Hadap utara
Air dr watertreatment developer
Ipl 1,6jt perbln
Deposit 40jt.

Disewakan 130jt per th

Yygphi",Disewakan Rumah Baru Attic Cluster Jasmia Summarecon Crown Gading
3,130 m²,2,,Rp 72 Juta per tahun,2,https://www.rumah123.com/properti/bekasi/hor17749609/,,Bekasi,SHM,2200 Watt,135 m²,Bagus,Rawa Panjang,"Rawa Panjang, Bekasi","Di sewakan Rumah Bagus
Villa Mutia Kirana Bekasi Timur

Lt: 135
Lb: 130
Berapa lantai : 2 lantai
Kamar tidur: 3+1
Kamar mandi: 3+1
Listrik: 2200wtt
AIR: Pam & jet pam
Carpot: 2 mobil
Row jalan: 3 mobil
Sertifikat Hak milik
Hook : tidak

Harga sewa 72 jt/thn(nego tipis)
Deposit : 5 juta

Selling point

 - Bebas banjir
 - 10 mnt ke pintu tol Bekasi barat
 - 10 mnt ke pintu tol Bekasi timur
 - 7 mnt ke RS siloam Bekasi Timur
 - 10 mnt ke Metropolitan Mall bekasi


#Merry _ ArviPro#",Disewakan Rumah di Villa Mutia Kirana Bekasi
5,150 m²,3,1,Rp 55 Juta/tahun,3,https://www.rumah123.com/properti/bandung/hor16269721/,,Bandung,SHM,2200 Watt,60 m²,Bagus,Ciumbuleuit,"Ciumbuleuit, Bandung","Rumah di Ciumbuleuit.

Dapatkan rumah 3 lantai yang modern ini,  disewakan dengan pemandangan pegunungan yang menambah nilai estetika di lingkungan hunian. Rumah ini berada di wilayah perumahan/komplek serta menghadirkan lingkungan fasilitas yang lengkap, cocok untuk Anda yang menginginkan hunian aman.

Spesifikasi Utama Properti:

  - Kamar Tidur: 5
  - Kamar Mandi: 3
  - Sertifikat: SHM - Sertifikat Hak Milik
  - Daya Listrik: 2200 W
  - Kondisi Perabotan: Furnished

Dilengkapi dengan:

  - Wastafel.
  - Pemanas Air.
  - Kompor.
  - Kitchen Set.
  - Masjid.
  - Akses Parkir.
  - Tempat Jemuran.
  - Rooftop 


Fitur unggulan:

  - Lokasi di Pusat Kota.
  - Adem & Sejuk.
  - Lingkungan Tenang dan Damai.
  - Pemandangan Gunung.
  - Pemandangan Alam.
  - Pemandangan City View.
  - Akses Jalan Muat 2 Mobil.
  - Lokasi Strategis.
  - Lokasi Bebas Banjir.

Berlokasi di Ciumbuleuit, rumah ini memberikan kemudahan akses ke berbagai fasilitas menarik.

Manfaatkan kesempatan untuk menikmati pengalaman tinggal di kawasan Ciumbuleuit yang nyaman ini!

Kontak segera untuk informasi lebih lanjut!",Rumah Siap Huni Sejuk Masuk Mobil Dekat Rs Salamun Unpar Parahyangan Ciumbuleuit Bandung
3,300 m²,3,,Rp 105 Juta per tahun,1,https://www.rumah123.com/properti/bogor/hor18959887/,,Bogor,SHM,2200 Watt,500 m²,,Semplak,"Semplak, Bogor","Rumah Disewa Bogor Rumah posisi strategis pinggir jalan Raya Semplak
Diseberang jalan pertokoan
Cocok dijadikan tempat tinggal atau tempat usaha atau cafe karena halaman luas
angkutan umum 24 jam 
Dekat dengan pusat perbelanjaan seperti Hypermart, Transmart, Informa, Ace, Tip Top, Lotte Grosir, Superindo 
10 menit ke RS Atang Sanjaya, RS Graha Medika, RS Hermina 
Dekat sekolah favorite, Sekolah IT Ummul Quro, Insan Kamil, Aliya, SMAN 10 Bogor, SDN Semplak, Kampus IPB Dramaga, Univ Nusa Bangsa, Univ Ibnu Kaldun, UT 
15 menit ke Tol BORR 11. Dekat dengan area hang out, mie gacoan, McD, KFC, Hokben, Kopi Nako, Teras Yasmin 
10 menit ke Yasmin center, kolam renang, gym, tenis, ball room 
10 menit ke Driving Range Atang Sanjaya",Rumah Bogor
7,300 m²,3,,Rp 110 Juta/tahun,2,https://www.rumah123.com/properti/bekasi/hor39318659/,,Bekasi,SHM,3500 Watt,200 m²,Bagus,Pekayon,"Pekayon, Bekasi","Disewakan Rumah di Taman Villa Baru Pekayon Jaya 
- 2 Lantai
- 7 Kamar tidur
- 3 Kamar Mandi
- 110 juta/tahun

Lokasi strategis, komplek dihimpit Metropolitan Mall dan Grand Metropolitan mall. Dekat dengan Rumah Sakit dan exit toll Bekasi Barat","Rumah Di Taman Villa Baru, Pekayon Cocok Untuk Ruang Usaha"
4,132 m²,4,,Rp 130 Juta/tahun,1,https://www.rumah123.com/properti/badung/hor39389608/,,Badung,SHM,4400 Watt,141 m²,,Jimbaran,"Jimbaran, Badung","Rumah Disewa Badung Rumah siap huni full furnished
One gate sistem
Dekat sekolah
Dekat pasar dan mall
Dekat resto besar
10 mnt ke pantai Jimbaran 
10 mnt ke pantai nusa dua
10 mnt ke gwk",Rumah furnished Jimbaran bawah
7,300 m²,3,2,Rp 125 Juta/tahun,1,https://www.rumah123.com/properti/bandung/hor39299089/,,Bandung,SHM,Lainnya,400 m²,Bagus,Pasir Koja,"Pasir Koja, Bandung","DISEWAKAN RUMAH SIAP HUNI SUMBERSARI 

LT.400
LB.300
LM.12
KT.4+3
KM.2+1
Listrik 3500W
Air sumur bor
Garasi 1
Carport 2
SHM

HARGA 125jt/th
Min 2 thn
Deposit 10jt

Nv ss",disewakan rumah di sumbersari pasirkoja holis bandung
6,650 m²,5,4,Rp 845 Juta per tahun,2,https://www.rumah123.com/properti/jakarta-selatan/hor15116428/,,Jakarta Selatan,SHM,16500 Watt,820 m²,Bagus,Pondok Indah,"Pondok Indah, Jakarta Selatan","SECURITY 24 JAM
MINIMUM SEWA 2 TAHUN DI MUKA
LUX
FULL MARMER
SEMI FURNISHED
SWIMMING POOL + GARDEN
GARASI 2 MOBIL + CARPORT 4 MOBIL
JALAN LEBAR",Minimum2tahundimuka Luxury House Close To Bm 400
,140 m²,,,Rp 97 Juta per tahun,1,https://www.rumah123.com/properti/bogor/hor14256754/,,Bogor,SHM,4400 Watt,200 m²,Bagus,Babakan Madang,"Babakan Madang, Bogor","TURUN HARGA !!
Disewakan 
Rumah di Lavanoise Viillage Sentul City

LT.200 m²
LB.140 m²
3 KT+ 1 K.ART
3 KM + 1 K.ART
Full furnished
Carport 2 Mobil
PLN 4400watt 
Hadap Timur
Air PDAM
Ada Swimming Pool + Club House di dalam Cluster
Harga Sewa turun dari  100jt/ Tahun jadi 97jt/tahun (msh bisa nego tipis)",Rumah Full Furnished Sentul City Lokasi Strategis di Sentul City Bogor
2,90 m²,1,1,Rp 30 Juta/tahun,1,https://www.rumah123.com/properti/bekasi/hor17630601/,,Bekasi,SHM,1300 Watt,90 m²,Bagus,Tarumajaya,"Tarumajaya, Bekasi","Rumah Baru dan Cantik 1 Lantai Dalam Cluster di Sewakan di Segara City, Bekasi Dekat Pasar Bojong Tarumajaya (e0026sw)

1 lantai
Luas tanah 90m2
Kamar tidur 2
Kamar mandi 1
Listrik 1.300 w token
Kanopi dan bagian belakang sudah conblok

Minimal sewa 2 tahun
Ada deposit 5 juta

Harga sewa Rp. 30 juta/tahun nego tipis",Disewakan Rumah Baru 1 Lantai di Perum. Segara City Tarumajaya Bekasi (e0026sw)
2,122 m²,2,1,Rp 50 Juta/tahun,1,https://www.rumah123.com/properti/batam/hor39265605/,,Batam,HGB,2200 Watt,126 m²,Bagus,Batam Centre,"Batam Centre, Batam","Disewakan Perumahan Cluster Orchard Park Furniahed Siap Huni :

◈ Luas Tanah/Area  : 126 m2
◈ Luas Bangunan    : 122 m2
◈ Jumlah Lantai      : 1 Lantai
◈ Kamar Tidur        : 2
◈ Kamar Mandi      : 2
◈ Carport               : -
◈ Furnitur               : Furnished
◈ Posisi Bangunan  : Badan
◈ Hadap/View          : -
◈ Sertifikat             : HGB 
◈ WTO                    : -

Harga Sewa : 50 Juta Pertahun Nego

*Terima Titipan Property Batam Jual Sewa* 
*Terima Bantuan Proses KPR*
 
Silahkan Hubungi:

Chandra 
LJH REALTY GRANDBATAM",Disewakan Murah Perumahan Orchard Park Cluster Vitis Siap Huni
5,1500 m²,,,Rp 121 Juta/bulan,,https://www.rumah123.com/properti/jakarta-selatan/hor17832430/,,Jakarta Selatan,Lainnya,Lainnya,950 m²,,Kebayoran Baru,"Kebayoran Baru, Jakarta Selatan","Temukan kenyamanan dan kemewahan di rumah dua lantai ini yang terletak di area Brawijaya yang prestisius. Dengan luas tanah 950 m&#xb2; dan luas bangunan 1500 m&#xb2;, properti ini menawarkan ruang yang luas dan desain yang elegan.

Jumlah Kamar Tidur: 5
Luas Tanah: 950 m&#xb2;
Luas Bangunan: 1500 m&#xb2; (2 lantai)
Harga Sewa: $7500 per bulan

Rumah ini sangat cocok untuk keluarga besar atau mereka yang membutuhkan ruang ekstra. Jangan lewatkan kesempatan ini untuk tinggal di salah satu lokasi terbaik dengan fasilitas yang memadai. Hubungi saya untuk informasi lebih lanjut dan jadwalkan kunjungan",Disewakan Rumah Elegan di Area Brawijaya
5,400 m²,3,1,Rp 325 Juta per tahun,2,https://www.rumah123.com/properti/jakarta-selatan/hor17094239/,,Jakarta Selatan,SHM,Lainnya,275 m²,Bagus,Kebayoran Baru,"Kebayoran Baru, Jakarta Selatan","Rumah 5 Kamar Tidur bisa untuk silent kantor di Kebayoran Baru
LT 275
LB 400
2 Lantai
Garasi 2 mbl
Car port 2 mbl

Bawah:
-  R Tamu + R Keluarga
- R Makan
- 1 Km Tidur Utama + km mandi dalam
- 5 Km Tidur
- Km mandi
- dapur bersih
- dapur kotor 
- km pembantu
- taman + teras belakang + kolam ikan

Atas:
- Ruang Keluarga
- 3  km tidur
-  km mandi
- km pembantu
- km mandi pembantu
- ruang jemur baju
Harga Sewa IDR 325 juta per tahun
Nego
Pembayaran 2 tahun dimuka

Note: Foto menyusul, unit masih tersewa sampai dengan 31 Mei 2024
AVAIABLE tanggal 1 Juni 2024

Untuk details, mohon hubungi Tantea 081212966xxx",Rumah 5 Kamar Tidur Bisa Untuk Silent Kantor di Kebayoran Baru
